Name,Check,Early return,Fail output,parent fun,check fun,Extra info,optional
valid_config,Hub config valid,TRUE,check_error,validate_submission,check_config_hub_valid,,FALSE
submission_time,Current time within file submission window,FALSE,check_failure,validate_submission_time,check_submission_time,,FALSE
file_exists,File exists at `file_path` provided,TRUE,check_error,validate_model_file,check_file_exists,,FALSE
file_name,File name valid,TRUE,check_error,validate_model_file,check_file_name,,FALSE
file_location,File located in correct team directory,FALSE,check_failure,validate_model_file,check_file_location,,FALSE
round_id_valid,File round ID is valid hub round IDs,TRUE,check_error,validate_model_file,check_valid_round_id,,FALSE
file_format,File format is accepted hub/round format,TRUE,check_error,validate_model_file,check_file_format,,FALSE
file_n,Number of submission files per round per team does not exceed allowed number,FALSE,check_failure,validate_model_file,check_file_n,,FALSE
metadata_exists,Model metadata file exists in expected location,FALSE,check_failure,validate_model_file,check_submission_metadata_file_exists,,FALSE
file_read,File can be read without errors,TRUE,check_error,validate_model_data,check_file_read,,FALSE
valid_round_id_col,Round ID var from config exists in data column names. Skipped if `round_id_from_var` is FALSE in config.,FALSE,check_failure,validate_model_data,check_valid_round_id_col,,FALSE
unique_round_id,Round ID column contains a single unique round ID. Skipped if `round_id_from_var` is FALSE in config.,TRUE,check_error,validate_model_data,check_tbl_unique_round_id,,FALSE
match_round_id,Round ID from file contents matches round ID from file name. Skipped if `round_id_from_var` is FALSE in config.,TRUE,check_error,validate_model_data,check_tbl_match_round_id,,FALSE
colnames,File column names match expected column names for round (i.e. task ID names + hub standard column names),TRUE,check_error,validate_model_data,check_tbl_colnames,,FALSE
col_types,File column types match expected column types from config. Mainly applicable to parquet & arrow files.,FALSE,check_failure,validate_model_data,check_tbl_col_types,,FALSE
valid_vals,Columns (excluding the `value` and any derived task ID columns) contain valid combinations of task ID / output type / output type ID values,TRUE,check_error,validate_model_data,check_tbl_values,error_tbl: table of invalid task ID/output type/output type ID value combinations,FALSE
derived_task_id_vals,Derived task ID columns contain valid values.,FALSE,check_failure,validate_model_data,check_tbl_derived_task_id_vals,errors: named list of derived task ID values. Each element contains the invalid values for each derived task ID that failed the check.,FALSE
rows_unique,Columns (excluding the `value` and any derived task ID columns) contain unique combinations of task ID / output type / output type ID values,FALSE,check_failure,validate_model_data,check_tbl_rows_unique,,FALSE
req_vals,Columns (excluding the `value` and any derived task ID columns) contain all required combinations of task ID / output type / output type ID values,FALSE,check_failure,validate_model_data,check_tbl_values_required,missing_df: table of missing task ID/output type/output type ID value combinations,FALSE
value_col_valid,Values in `value` column are coercible to data type configured for each output type,FALSE,check_failure,validate_model_data,check_tbl_value_col,,FALSE
value_col_non_desc,Values in `value` column are non-decreasing as output_type_ids increase for all unique task ID /output type value combinations. Applies to `quantile` or `cdf` output types only,FALSE,check_failure,validate_model_data,check_tbl_value_col_ascending,error_tbl: table of rows affected,FALSE
value_col_sum1,Values in the `value` column of `pmf` output type data for each unique task ID combination sum to 1.,FALSE,check_failure,validate_model_data,check_tbl_value_col_sum1,error_tbl: table of rows affected,FALSE
spl_compound_taskid_set,Sample compound task id sets for each modeling task match or are coarser than the expected set defined in tasks.json config.,TRUE,check_error,validate_model_data,check_tbl_spl_compound_taskid_set,errors: list containing item for each failing modeling task. Exact structure dependent on type of validation failure. See check function documentation for more details.,FALSE
spl_compound_tid,Samples contain single unique values for each compound task ID within individual samples (v3 and above schema only).,TRUE,check_error,validate_model_data,check_tbl_spl_compound_tid,errors: list containing item for each sample failing validation with breakdown of unique values for each compound task ID.,FALSE
spl_non_compound_tid,Samples contain single unique combination of non-compound task ID values across all samples (v3 and above schema only).,TRUE,check_error,validate_model_data,check_tbl_spl_non_compound_tid,"errors: list containing item for each modeling task with vectors of output type ids of samples failing validation and example table of most frequent non-compound task ID value combination
across all samples in the modeling task.",FALSE
spl_n,Number of samples for a given compound idx falls within accepted compound task range (v3 and above schema only).,FALSE,check_failure,validate_model_data,check_tbl_spl_n,"errors: list containing item for each compound_idx failing validation with sample count, metadata on expected samples and example table of expected structure for samples belonging to
the compound idx in question.",FALSE
metadata_schema_exists,A model metadata schema file exists in `hub-config` directory.,TRUE,check_error,validate_model_metadata,check_metadata_schema_exists,,FALSE
metadata_file_exists,A file with name provided to argument `file_path` exists at the expected location (the `model-metadata` directory).,TRUE,check_error,validate_model_metadata,check_metadata_file_exists,,FALSE
metadata_file_ext,The metadata file has correct extension (yaml or yml).,TRUE,check_error,validate_model_metadata,check_metadata_file_ext,,FALSE
metadata_file_location,The metadata file has been saved to correct location.,TRUE,check_failure,validate_model_metadata,check_metadata_file_location,,FALSE
metadata_matches_schema,The contents of the metadata file match the hub's model metadata schema,TRUE,check_error,validate_model_metadata,check_metadata_matches_schema,,FALSE
metadata_file_name,The metadata filename matches the model ID specified in the contents of the file.,TRUE,check_error,validate_model_metadata,check_metadata_file_name,,FALSE
NA,The number of metadata files submitted by a single team does not exceed the maximum number allowed.,FALSE,check_failure,validate_model_metadata,opt_check_metadata_team_max_model_n,,TRUE
NA,Time difference between values in two date columns equal a defined period.,FALSE,check_failure,validate_model_data,opt_check_tbl_col_timediff,,TRUE
NA,Predicted values per location are less than total location population.,FALSE,check_failure,validate_model_data,opt_check_tbl_counts_lt_popn,,TRUE
NA,Time difference between values in two date columns equals a defined time period defined by values in a horizon column.,FALSE,check_failure,validate_model_data,opt_check_tbl_horizon_timediff,,TRUE